song_name,artist_name,album_name,thumbnail,link,queryname
Black Balloons,Ellise,Black Balloons,https://i.scdn.co/image/ab67616d0000b273b6dbcf6fd8738a9460999453,https://www.youtube.com/watch?v=q50_MI6HSyA,Black Balloons by Ellise
Destroyer,Skillet,Dominion,https://i.scdn.co/image/ab67616d0000b2738313307f4c5b7cfe19ebaa21,https://www.youtube.com/watch?v=ocexxOxylzA,Destroyer by Skillet
Where Do I Sign?,Weathers,Where Do I Sign?,https://i.scdn.co/image/ab67616d0000b2733003180ab1505f39406b9d05,https://www.youtube.com/watch?v=SAxjXb41TI8,Where Do I Sign? by Weathers
Heaven Don't Have a Name,Jeremy Renner,Heaven Don't Have a Name,https://i.scdn.co/image/ab67616d0000b273c54396ebed8e1f06d5a8b83c,https://www.youtube.com/watch?v=5Kn2w8V62R4,Heaven Don't Have a Name by Jeremy Renner
Happy Pills,Weathers,Happy Pills,https://i.scdn.co/image/ab67616d0000b273f40b377328f8614879cdd29d,https://www.youtube.com/watch?v=mFxq7Mb96b0,Happy Pills by Weathers
<maybe> it's my fault,WILLOW,<COPINGMECHANISM>,https://i.scdn.co/image/ab67616d0000b2731d13addda541bcf23ea27e0d,https://www.youtube.com/watch?v=oF3caRwbKq4,<maybe> it's my fault by WILLOW
Save Yourself,ONE OK ROCK,Save Yourself,https://i.scdn.co/image/ab67616d0000b27389d4982c66a38e88b2b3b272,https://www.youtube.com/watch?v=3Fxzu6Jbrww,Save Yourself by ONE OK ROCK
parents,YUNGBLUD,weird!,https://i.scdn.co/image/ab67616d0000b273b5dd9044681a2e8e0d072e27,https://www.youtube.com/watch?v=oOWBsmgjmPo,parents by YUNGBLUD
Glass Heart,Caskets,Lost Souls,https://i.scdn.co/image/ab67616d0000b2736bbd5c58e7be013e8e83dcb3,https://www.youtube.com/watch?v=Ao4fiI9lJxk,Glass Heart by Caskets
Dead Inside,Future Palace,Run,https://i.scdn.co/image/ab67616d0000b2736d6b13d1fc6d3af5ae92f61e,https://www.youtube.com/watch?v=q8Kt-n91QDI,Dead Inside by Future Palace
Running Up That Hill (A Deal With God),Lø Spirit,Running Up That Hill (A Deal With God),https://i.scdn.co/image/ab67616d0000b273eca1b7ae163ce1f6a2fc655d,https://www.youtube.com/watch?v=81FszKwDi7c,Running Up That Hill (A Deal With God) by Lø Spirit
Candy Coated Lie$,Hot Milk,Candy Coated Lie$,https://i.scdn.co/image/ab67616d0000b2731b440485fcfc4631d10668af,https://www.youtube.com/watch?v=6-i3___ZJ_Q,Candy Coated Lie$ by Hot Milk
Lavender Bones,Stand Atlantic,Skinny Dipping,https://i.scdn.co/image/ab67616d0000b2733cc81a9fd588ad6f314e8d5d,https://www.youtube.com/watch?v=M-Y5qCHrOXI,Lavender Bones by Stand Atlantic
Love It When You Hate Me (feat. blackbear),Avril Lavigne,Love Sux,https://i.scdn.co/image/ab67616d0000b273dcb20af72a164e4b265cf89b,https://www.youtube.com/watch?v=lPi1jj12WC8,Love It When You Hate Me (feat. blackbear) by Avril Lavigne
